ip,software,version,eol_status
45.152.8.122,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.135.97.44,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
193.110.5.71,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.135.99.139,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
91.244.207.26,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
185.222.35.31,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.157.202.89,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
185.222.35.197,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.141.207.5,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
46.161.221.61,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.149.91.119,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
212.80.213.224,Apache/2.4.25 (Win32) OpenSSL/1.0.2j PHP/7.1.1,1.0.2j,2019-12-31
45.141.16.3,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
185.222.32.87,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.135.96.101,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.161.211.103,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.135.96.122,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.161.222.50,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
46.161.223.157,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
212.115.197.93,Apache/2.4.51 (Win64) OpenSSL/1.1.1l mod_jk/1.2.48,1.1.1l,2023-09-11
195.62.22.68,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.142.235.164,Apache/2.4.67 (FreeBSD) OpenSSL/3.0.16,3.0.16,False
217.148.183.157,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.4.33,1.0.2k,2019-12-31
45.136.67.197,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.149.91.143,Apache/2.4.58 (Unix) OpenSSL/3.0.19 PHP/8.2.8,3.0.19,False
195.62.23.131,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
